"","iteration","n","type","err"
"479",32,10000,"Huber_global",0.0242852231798339
"480",32,10000,"Huber_distr_dc",0.0241505533576361
"481",33,500,"ols_global",0.0717636745817224
"482",33,500,"Huber_global",0.0289986951895932
"483",33,500,"Huber_distr_dc",0.0589515079852072
"484",33,1000,"ols_global",0.0682955547154006
"485",33,1000,"Huber_global",0.0267522989289843
"486",33,1000,"Huber_distr_dc",0.0262417005960254
"487",33,2500,"ols_global",0.0611578585572737
"488",33,2500,"Huber_global",0.0272449009527379
"489",33,2500,"Huber_distr_dc",0.0270280594389538
"490",33,5000,"ols_global",0.0561646242341766
"491",33,5000,"Huber_global",0.0202697914739297
"492",33,5000,"Huber_distr_dc",0.020481579841321
"493",33,10000,"ols_global",0.0698344096525011
"494",33,10000,"Huber_global",0.0249970203169891
"495",33,10000,"Huber_distr_dc",0.025055682604988
"496",34,500,"ols_global",0.0637639098059101
"497",34,500,"Huber_global",0.0235112136391078
"498",34,500,"Huber_distr_dc",0.0504397501719398
"499",34,1000,"ols_global",0.0576420806794817
"500",34,1000,"Huber_global",0.0225259875939333
"501",34,1000,"Huber_distr_dc",0.0288644922745992
"502",34,2500,"ols_global",0.0458986233324046
"503",34,2500,"Huber_global",0.0220373790009683
"504",34,2500,"Huber_distr_dc",0.0218873535802709
"505",34,5000,"ols_global",0.0545501097485821
"506",34,5000,"Huber_global",0.0231686101052104
"507",34,5000,"Huber_distr_dc",0.0230459893062557
"508",34,10000,"ols_global",0.0566780449230276
"509",34,10000,"Huber_global",0.0251784369109352
"510",34,10000,"Huber_distr_dc",0.0251836020166308
"511",35,500,"ols_global",0.0586296982654804
"512",35,500,"Huber_global",0.021423211533491
"513",35,500,"Huber_distr_dc",0.0581177559693163
"514",35,1000,"ols_global",0.0578294899467443
"515",35,1000,"Huber_global",0.0225963010511155
"516",35,1000,"Huber_distr_dc",0.0229181320486484
"517",35,2500,"ols_global",0.0660459139743871
"518",35,2500,"Huber_global",0.0246170079540425
"519",35,2500,"Huber_distr_dc",0.0249259404334769
"520",35,5000,"ols_global",0.0682348801174498
"521",35,5000,"Huber_global",0.0236410875134016
"522",35,5000,"Huber_distr_dc",0.0236207475847419
"523",35,10000,"ols_global",0.0549146457954319
"524",35,10000,"Huber_global",0.0206722348428965
"525",35,10000,"Huber_distr_dc",0.0206523011836223
"526",36,500,"ols_global",0.0594296549089878
"527",36,500,"Huber_global",0.0222990911663101
"528",36,500,"Huber_distr_dc",0.0510648873122826
