"","iteration","proportion","scale","type","err"
"357",7,0.06,10,"Huber_distr_dc",0.0937898029255719
"358",7,0.06,100,"ols_global",5.90809697305643
"359",7,0.06,100,"Huber_global",0.0983035057781087
"360",7,0.06,100,"Huber_distr_dc",0.0970859976005561
"361",7,0.08,1,"ols_global",0.319618090634119
"362",7,0.08,1,"Huber_global",0.110531805549364
"363",7,0.08,1,"Huber_distr_dc",0.11066827034164
"364",7,0.08,10,"ols_global",0.867879376057208
"365",7,0.08,10,"Huber_global",0.130040955607409
"366",7,0.08,10,"Huber_distr_dc",0.127132512382776
"367",7,0.08,100,"ols_global",8.04914075160119
"368",7,0.08,100,"Huber_global",0.131076724425866
"369",7,0.08,100,"Huber_distr_dc",0.126904319719743
"370",7,0.1,1,"ols_global",0.315114066535783
"371",7,0.1,1,"Huber_global",0.136574922847265
"372",7,0.1,1,"Huber_distr_dc",0.136350259608196
"373",7,0.1,10,"ols_global",1.10283072228427
"374",7,0.1,10,"Huber_global",0.166532228768599
"375",7,0.1,10,"Huber_distr_dc",0.162794279322386
"376",7,0.1,100,"ols_global",9.97518922473071
"377",7,0.1,100,"Huber_global",0.16766856630415
"378",7,0.1,100,"Huber_distr_dc",0.167115820627156
"379",8,0,1,"ols_global",0.259379372423784
"380",8,0,1,"Huber_global",0.0338943252386526
"381",8,0,1,"Huber_distr_dc",0.0339517135088999
"382",8,0,10,"ols_global",0.259534635750878
"383",8,0,10,"Huber_global",0.0322870393501326
"384",8,0,10,"Huber_distr_dc",0.0321426267318977
"385",8,0,100,"ols_global",0.58326827908188
"386",8,0,100,"Huber_global",0.0328358308028759
"387",8,0,100,"Huber_distr_dc",0.0325079993249786
"388",8,0.02,1,"ols_global",0.668449632149485
"389",8,0.02,1,"Huber_global",0.0406128546220877
"390",8,0.02,1,"Huber_distr_dc",0.0409075383561762
"391",8,0.02,10,"ols_global",0.273271798844549
"392",8,0.02,10,"Huber_global",0.0474913500804976
"393",8,0.02,10,"Huber_distr_dc",0.0474999742443145
"394",8,0.02,100,"ols_global",2.10305607391148
"395",8,0.02,100,"Huber_global",0.0491543647598199
"396",8,0.02,100,"Huber_distr_dc",0.0488119252427992
"397",8,0.04,1,"ols_global",0.179442144498971
"398",8,0.04,1,"Huber_global",0.0618767778944196
"399",8,0.04,1,"Huber_distr_dc",0.0616287446621959
"400",8,0.04,10,"ols_global",0.500641761210565
"401",8,0.04,10,"Huber_global",0.0741450804336743
"402",8,0.04,10,"Huber_distr_dc",0.0721696444061797
"403",8,0.04,100,"ols_global",4.15548326741404
"404",8,0.04,100,"Huber_global",0.0607762069028147
"405",8,0.04,100,"Huber_distr_dc",0.0594999320049593
"406",8,0.06,1,"ols_global",0.191707461266022
"407",8,0.06,1,"Huber_global",0.0801568505039412
"408",8,0.06,1,"Huber_distr_dc",0.0801675076499441
"409",8,0.06,10,"ols_global",0.63838037951846
"410",8,0.06,10,"Huber_global",0.100976133753172
"411",8,0.06,10,"Huber_distr_dc",0.099059124933868
"412",8,0.06,100,"ols_global",6.09169232315055
"413",8,0.06,100,"Huber_global",0.0989334446839492
"414",8,0.06,100,"Huber_distr_dc",0.0984266661769301
"415",8,0.08,1,"ols_global",0.307130352270954
"416",8,0.08,1,"Huber_global",0.103961869713786
"417",8,0.08,1,"Huber_distr_dc",0.103986630451541
"418",8,0.08,10,"ols_global",0.875877012939951
"419",8,0.08,10,"Huber_global",0.120818795625316
"420",8,0.08,10,"Huber_distr_dc",0.116734243895873
"421",8,0.08,100,"ols_global",7.99042845083488
"422",8,0.08,100,"Huber_global",0.1250754656781
"423",8,0.08,100,"Huber_distr_dc",0.126176678022161
"424",8,0.1,1,"ols_global",0.223683814992614
"425",8,0.1,1,"Huber_global",0.139246548496198
"426",8,0.1,1,"Huber_distr_dc",0.139547857309834
"427",8,0.1,10,"ols_global",1.26687800983361
"428",8,0.1,10,"Huber_global",0.16401686875436
"429",8,0.1,10,"Huber_distr_dc",0.161150960676692
"430",8,0.1,100,"ols_global",9.9667601345621
"431",8,0.1,100,"Huber_global",0.178753045790706
"432",8,0.1,100,"Huber_distr_dc",0.179564332502672
"433",9,0,1,"ols_global",0.432518014016931
"434",9,0,1,"Huber_global",0.0371881610351156
"435",9,0,1,"Huber_distr_dc",0.0378074296339205
"436",9,0,10,"ols_global",0.162211181760509
"437",9,0,10,"Huber_global",0.0322552101125705
"438",9,0,10,"Huber_distr_dc",0.0320197372985012
"439",9,0,100,"ols_global",0.219666939089664
"440",9,0,100,"Huber_global",0.0284372137296608
"441",9,0,100,"Huber_distr_dc",0.0282771589600202
"442",9,0.02,1,"ols_global",0.228838675855127
"443",9,0.02,1,"Huber_global",0.044435580558176
"444",9,0.02,1,"Huber_distr_dc",0.0443292515679387
"445",9,0.02,10,"ols_global",0.300968775562293
"446",9,0.02,10,"Huber_global",0.0442991507041922
"447",9,0.02,10,"Huber_distr_dc",0.0443247717052181
"448",9,0.02,100,"ols_global",2.00278277738481
"449",9,0.02,100,"Huber_global",0.0443981990966189
"450",9,0.02,100,"Huber_distr_dc",0.0447477251036508
"451",9,0.04,1,"ols_global",0.157600730336212
"452",9,0.04,1,"Huber_global",0.0551351508423235
"453",9,0.04,1,"Huber_distr_dc",0.0560675268474561
"454",9,0.04,10,"ols_global",0.405764122234074
"455",9,0.04,10,"Huber_global",0.0734439615911816
"456",9,0.04,10,"Huber_distr_dc",0.0728619102960138
"457",9,0.04,100,"ols_global",3.79858292812462
"458",9,0.04,100,"Huber_global",0.069213941459902
"459",9,0.04,100,"Huber_distr_dc",0.0697345010242078
"460",9,0.06,1,"ols_global",0.48912151578797
"461",9,0.06,1,"Huber_global",0.0854110274979031
"462",9,0.06,1,"Huber_distr_dc",0.0871858843859118
"463",9,0.06,10,"ols_global",0.671444267530119
"464",9,0.06,10,"Huber_global",0.0977835850035487
"465",9,0.06,10,"Huber_distr_dc",0.0967503557268069
"466",9,0.06,100,"ols_global",6.29371126691242
"467",9,0.06,100,"Huber_global",0.10524041150423
"468",9,0.06,100,"Huber_distr_dc",0.106299338322198
"469",9,0.08,1,"ols_global",0.247693930291127
"470",9,0.08,1,"Huber_global",0.106084178788158
"471",9,0.08,1,"Huber_distr_dc",0.105730517560615
"472",9,0.08,10,"ols_global",0.842156446522398
"473",9,0.08,10,"Huber_global",0.127323660268563
"474",9,0.08,10,"Huber_distr_dc",0.125812919317777
"475",9,0.08,100,"ols_global",8.07041580323174
"476",9,0.08,100,"Huber_global",0.130363124158614
"477",9,0.08,100,"Huber_distr_dc",0.126701590152153
"478",9,0.1,1,"ols_global",0.356693312008173
"479",9,0.1,1,"Huber_global",0.146007669862155
"480",9,0.1,1,"Huber_distr_dc",0.146512586048076
"481",9,0.1,10,"ols_global",1.19362647768066
"482",9,0.1,10,"Huber_global",0.162282235651106
"483",9,0.1,10,"Huber_distr_dc",0.163992348400989
"484",9,0.1,100,"ols_global",9.86066113749458
"485",9,0.1,100,"Huber_global",0.176350258595185
"486",9,0.1,100,"Huber_distr_dc",0.171453567736268
"487",10,0,1,"ols_global",0.274454400220086
"488",10,0,1,"Huber_global",0.0331278463888636
"489",10,0,1,"Huber_distr_dc",0.0331057457831106
"490",10,0,10,"ols_global",0.311316576229746
"491",10,0,10,"Huber_global",0.0324922710965072
"492",10,0,10,"Huber_distr_dc",0.0329677111310359
"493",10,0,100,"ols_global",0.81534981819618
"494",10,0,100,"Huber_global",0.0308023109157872
"495",10,0,100,"Huber_distr_dc",0.0305944779216192
